*********************************************
*** Started on 2024-10-18 14:35:11.198710 ***
*********************************************

Mod ID: 4620d9e1-3ab7-442a-be44-263765c8b5a8
Mod Name: !!!皇家海军HMS
Mod Comp.Name: 皇家海军HMS
Mod Authors: 无言Infinite

Mod Name (no extra): !!!皇家海军HMS
Mod Name (clean): 皇家海军HMS
Mod Comp.Name (clean): 皇家海军HMS

Mod Name (HTML): !HMS
Mod Name (HTML - en_US): !HMS

CREATED: C:/Users/humpel/Documents/Firaxis ModBuddy/Civilization VI/CTC - ComputerTranslatedCivilizations/CTC - Computer Translated Civilizations/2427345328

CREATED DIR (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2427345328
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2427345328\!!HMS!!.modinfo


------------------------------------------------------------
FrontEndActions:
------------------------------------------------------------
XML file found: HMS_Text.xml
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2427345328/HMS_Text.xml

------------------------------------------------------------
InGameActions:
------------------------------------------------------------
XML file found: HMS_Text.xml
Found (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2427345328/HMS_Text.xml


------------------------------------------------------------
Entries found: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 0, 'zh_Hans_CN': 90, 'zh_Hant_HK': 0}
FrontEnd entries: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 0, 'zh_Hans_CN': 45, 'zh_Hant_HK': 0}
InGame entries: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 0, 'zh_Hans_CN': 45, 'zh_Hant_HK': 0}
------------------------------------------------------------
Max entries: ['zh_Hans_CN']
Default language: zh_Hans_CN: 90


FrontEnd translations:

  1 - LOC_BUILDING_HMS_ROYAL_OFFICE_NAME:  (5) ->  en_US(22)   fr_FR(21)   de_DE(21)   it_IT(21)   es_ES(19)   ja_JP(2)   ru_RU(25)   pl_PL(23)   ko_KR(5)   zh_Hant_HK(5)   
  2 - LOC_BUILDING_HMS_ROYAL_OFFICE_DESCRIPTION:  (88) ->  en_US(151)   fr_FR(180)   de_DE(185)   it_IT(166)   es_ES(184)   ja_JP(108)   ru_RU(149)   pl_PL(176)   ko_KR(101)   zh_Hant_HK(88)   
  3 - LOC_BUILDING_HMS_ROYAL_SERVICE_NAME:  (6) ->  en_US(20)   fr_FR(24)   de_DE(24)   it_IT(21)   es_ES(19)   ja_JP(5)   ru_RU(34)   pl_PL(24)   ko_KR(6)   zh_Hant_HK(6)   
  4 - BUILDING_HMS_ROYAL_SERVICE_DESCRIPTION:  (36) ->  en_US(113)   fr_FR(142)   de_DE(140)   it_IT(140)   es_ES(164)   ja_JP(48)   ru_RU(134)   pl_PL(139)   ko_KR(53)   zh_Hant_HK(37)   
  5 - LOC_CIVILIZATION_HMS_NAME:  (4) ->  en_US(10)   fr_FR(13)   de_DE(17)   it_IT(12)   es_ES(11)   ja_JP(4)   ru_RU(16)   pl_PL(19)   ko_KR(5)   zh_Hant_HK(4)   
  6 - LOC_CIVILIZATION_HMS_ADJECTIVE:  (3) ->  en_US(5)   fr_FR(5)   de_DE(9)   it_IT(5)   es_ES(4)   ja_JP(4)   ru_RU(11)   pl_PL(9)   ko_KR(3)   zh_Hant_HK(3)   
  7 - LOC_CIVILIZATION_HMS_DESCRIPTION:  (0) ->  en_US(0)   fr_FR(0)   de_DE(0)   it_IT(0)   es_ES(0)   ja_JP(0)   ru_RU(0)   pl_PL(0)   ko_KR(0)   zh_Hant_HK(0)   
  8 - LOC_CITY_NAME_HMS_LONDON:  (2) ->  en_US(6)   fr_FR(7)   de_DE(6)   it_IT(6)   es_ES(7)   ja_JP(4)   ru_RU(6)   pl_PL(6)   ko_KR(2)   zh_Hant_HK(2)   
  9 - LOC_TRAIT_CIVILIZATION_HMS_ABILITY_NAME:  (6) ->  en_US(20)   fr_FR(33)   de_DE(31)   it_IT(30)   es_ES(27)   ja_JP(9)   ru_RU(33)   pl_PL(32)   ko_KR(11)   zh_Hant_HK(6)   
  10 - LOC_TRAIT_CIVILIZATION_HMS_ABILITY_DESCRIPTION:  (220) ->  en_US(276)   fr_FR(359)   de_DE(360)   it_IT(336)   es_ES(352)   ja_JP(226)   ru_RU(335)   pl_PL(333)   ko_KR(233)   zh_Hant_HK(219)   
  11 - LOC_DISTRICT_ROYAL_PALACE_NAME:  (5) ->  en_US(14)   fr_FR(12)   de_DE(18)   it_IT(13)   es_ES(12)   ja_JP(2)   ru_RU(18)   pl_PL(15)   ko_KR(2)   zh_Hant_HK(4)   
  12 - LOC_DISTRICT_ROYAL_PALACE_DESCRIPTION:  (160) ->  en_US(368)   fr_FR(366)   de_DE(404)   it_IT(365)   es_ES(399)   ja_JP(197)   ru_RU(355)   pl_PL(421)   ko_KR(193)   zh_Hant_HK(159)   
  13 - LOC_IMPROVEMENT_ROYAL_CASTLE_NAME:  (4) ->  en_US(12)   fr_FR(13)   de_DE(19)   it_IT(14)   es_ES(13)   ja_JP(2)   ru_RU(17)   pl_PL(15)   ko_KR(5)   zh_Hant_HK(4)   
  14 - LOC_IMPROVEMENT_ROYAL_CASTLE_DESCRIPTION:  (336) ->  en_US(614)   fr_FR(724)   de_DE(703)   it_IT(730)   es_ES(690)   ja_JP(393)   ru_RU(649)   pl_PL(682)   ko_KR(392)   zh_Hant_HK(337)   
  15 - LOC_CITY_NAME_HMS_BIRMINGHAM:  (3) ->  en_US(10)   fr_FR(10)   de_DE(10)   it_IT(10)   es_ES(10)   ja_JP(6)   ru_RU(9)   pl_PL(10)   ko_KR(3)   zh_Hant_HK(3)   
  16 - LOC_CITY_NAME_HMS_SHEFFIELD:  (4) ->  en_US(9)   fr_FR(9)   de_DE(9)   it_IT(9)   es_ES(9)   ja_JP(7)   ru_RU(7)   pl_PL(10)   ko_KR(3)   zh_Hant_HK(3)   
  17 - LOC_CITY_NAME_HMS_LEEDS:  (2) ->  en_US(5)   fr_FR(5)   de_DE(5)   it_IT(5)   es_ES(5)   ja_JP(3)   ru_RU(4)   pl_PL(5)   ko_KR(2)   zh_Hant_HK(2)   
  18 - LOC_CITY_NAME_HMS_GLASGOW:  (4) ->  en_US(7)   fr_FR(7)   de_DE(7)   it_IT(7)   es_ES(7)   ja_JP(5)   ru_RU(6)   pl_PL(7)   ko_KR(4)   zh_Hant_HK(4)   
  19 - LOC_CITY_NAME_HMS_BRADFORD:  (5) ->  en_US(8)   fr_FR(8)   de_DE(8)   it_IT(8)   es_ES(8)   ja_JP(8)   ru_RU(8)   pl_PL(9)   ko_KR(5)   zh_Hant_HK(5)   
  20 - LOC_CITY_NAME_HMS_MANCHESTER:  (4) ->  en_US(10)   fr_FR(10)   de_DE(10)   it_IT(10)   es_ES(10)   ja_JP(7)   ru_RU(9)   pl_PL(10)   ko_KR(4)   zh_Hant_HK(4)   
  21 - LOC_CITY_NAME_HMS_EDINBURGH:  (3) ->  en_US(9)   fr_FR(9)   de_DE(9)   it_IT(9)   es_ES(9)   ja_JP(6)   ru_RU(8)   pl_PL(8)   ko_KR(4)   zh_Hant_HK(3)   
  22 - LOC_CITY_NAME_HMS_LIVERPOOL:  (3) ->  en_US(9)   fr_FR(9)   de_DE(9)   it_IT(9)   es_ES(9)   ja_JP(5)   ru_RU(9)   pl_PL(9)   ko_KR(3)   zh_Hant_HK(3)   
  23 - LOC_CITY_NAME_HMS_CARDIFF:  (3) ->  en_US(7)   fr_FR(7)   de_DE(7)   it_IT(7)   es_ES(7)   ja_JP(5)   ru_RU(7)   pl_PL(7)   ko_KR(3)   zh_Hant_HK(3)   
  24 - LOC_CITY_NAME_HMS_BELFAST:  (5) ->  en_US(7)   fr_FR(7)   de_DE(7)   it_IT(7)   es_ES(7)   ja_JP(6)   ru_RU(7)   pl_PL(7)   ko_KR(4)   zh_Hant_HK(5)   
  25 - LOC_CITY_NAME_HMS_OXFORD:  (2) ->  en_US(6)   fr_FR(6)   de_DE(6)   it_IT(6)   es_ES(6)   ja_JP(8)   ru_RU(7)   pl_PL(7)   ko_KR(4)   zh_Hant_HK(2)   
  26 - LOC_CITIZEN_NAME_HMS_CHURCHILL:  (3) ->  en_US(9)   fr_FR(9)   de_DE(9)   it_IT(9)   es_ES(7)   ja_JP(5)   ru_RU(8)   pl_PL(10)   ko_KR(2)   zh_Hant_HK(3)   
  27 - LOC_CITIZEN_NAME_HMS_WILLIAM_SHAKES_BEARE:  (7) ->  en_US(19)   fr_FR(19)   de_DE(19)   it_IT(19)   es_ES(19)   ja_JP(13)   ru_RU(14)   pl_PL(18)   ko_KR(9)   zh_Hant_HK(7)   
  28 - LOC_CITIZEN_NAME_HMS_SANSAN:  (9) ->  en_US(19)   fr_FR(24)   de_DE(25)   it_IT(25)   es_ES(26)   ja_JP(15)   ru_RU(23)   pl_PL(27)   ko_KR(11)   zh_Hant_HK(9)   
  29 - LOC_CITIZEN_NAME_HMS_MILTON:  (3) ->  en_US(6)   fr_FR(6)   de_DE(6)   it_IT(6)   es_ES(6)   ja_JP(4)   ru_RU(6)   pl_PL(7)   ko_KR(2)   zh_Hant_HK(3)   
